page,ink_ratio,edge_density,symmetry_score,tile_var_mean,tile_var_std,empty_fraction,max_empty,margin_activity,loop_intensity,cluster_intensity,mirror_intensity,gap_intensity,margin_break_intensity
19,0.5899260102447353,0.24775184974388162,0.2555660307407379,0.16820073127746582,0.045013852417469025,0.025510204081632654,0.0049800796812749,0.99800796812749,0.43902483365857337,0.2500769578748279,0.627783015370369,0.02909281242377429,1.0
20,0.594424682223487,0.24999288560045532,0.19291092455387115,0.16218943893909454,0.059687890112400055,0.03571428571428571,0.004897078353253652,0.9832669322709163,0.42943707717062063,0.3315993895133337,0.5964554622769356,0.03657987099222159,1.0
21,0.588628818061089,0.25,0.13699789345264435,0.1590319126844406,0.039948418736457825,0.02040816326530612,0.0049800796812749,0.9873837981407703,0.4237574428319931,0.22193565964698792,0.5684989467263222,0.025266281811529394,1.0
22,0.5800820527414153,0.2471305255169797,0.2534995377063751,0.16101734340190887,0.028000405058264732,0.03571428571428571,0.0049800796812749,0.997875166002656,0.42575300715777487,0.15555780587924853,0.6267497688531876,0.03674587364826409,1.0
23,0.5904145323468033,0.2488142667425536,2.806158227031119e-05,0.1821051836013794,0.038442935794591904,0.025510204081632654,0.0049800796812749,0.9907038512616202,0.46463717719088743,0.21357186552551058,0.5000140307911352,0.02909281242377429,1.0
24,0.5996063365585278,0.24999762853348512,0.01874973066151142,0.17072217166423798,0.04215503856539726,0.025510204081632654,0.0049800796812749,0.9567065073041169,0.4447986046890452,0.23419465869665146,0.5093748653307557,0.02909281242377429,1.0
25,0.599822140011383,0.2474293302978562,0.14950554072856903,0.16852934658527374,0.04685800150036812,0.030612244897959183,0.0049800796812749,0.9885790172642762,0.4394389555173137,0.2603222305576007,0.5747527703642845,0.032919343036019184,1.0
26,0.5998553405425915,0.24998102826788085,0.11772039532661438,0.19712716341018677,0.03896024078130722,0.025510204081632654,0.0049800796812749,0.9183333333333333,0.4923184596856707,0.21644578211837345,0.5588601976633072,0.02909281242377429,1.0
27,0.5981455131853538,0.24915338645418328,0.11873582750558853,0.17195481061935425,0.027252746745944023,0.01020408163265306,0.004897078353253652,0.9731739707835325,0.4465530216646385,0.15140414858857792,0.5593679137527943,0.0174472179309971,1.0
28,0.5966182887497629,0.24973439575033202,0.13429729640483856,0.18772654235363007,0.03441783785820007,0.025510204081632654,0.0049800796812749,0.9119521912350598,0.47526169389921674,0.19121021032333374,0.5671486482024193,0.02909281242377429,1.0
29,0.5992767027129577,0.2485154619616771,0.2525453269481659,0.1529112309217453,0.04433664306998253,0.030612244897959183,0.004897078353253652,0.9806108897742364,0.41192371973806396,0.24631468372212517,0.626272663474083,0.03275334037997669,1.0
30,0.5999193701384936,0.24999762853348512,0.030999980866909027,0.17007966339588165,0.03581995144486427,0.030612244897959183,0.0049800796812749,0.9691899070385126,0.44364208980600384,0.19899973024924597,0.5154999904334545,0.032919343036019184,1.0
31,0.5997747106810852,0.24999051413394044,0.1393539309501648,0.17878760397434235,0.03386210277676582,0.025510204081632654,0.0049800796812749,0.99800796812749,0.45931246992748354,0.18812279320425457,0.5696769654750824,0.02909281242377429,1.0
32,0.5990656421931322,0.24919132991842155,0.11216896027326584,0.1755705624818802,0.03891649842262268,0.0,0.0,0.9956175298804781,0.4530822439225162,0.21620276901457045,0.5560844801366329,0.0,1.0
33,0.5999928856004553,0.24998102826788085,0.14387252926826477,0.1740291714668274,0.03510737791657448,0.0,0.0,0.9918990703851261,0.4507420741876238,0.19504098842541379,0.5719362646341324,0.0,1.0
34,0.5986838360842345,0.24807674065642193,0.2488461136817932,0.17163532972335815,0.04110703617334366,0.02040816326530612,0.0049800796812749,0.99800796812749,0.4453858008630768,0.22837242318524256,0.6244230568408966,0.025266281811529394,1.0
35,0.5947875166002656,0.248849838740277,0.20394447445869446,0.1882771998643875,0.02240622043609619,0.015306122448979591,0.004897078353253652,0.9937583001328021,0.47576637106304986,0.12447900242275663,0.6019722372293472,0.021273748543241995,1.0
36,0.5999952570669702,0.24987194080819577,0.10663625597953796,0.16300688683986664,0.03150537982583046,0.030612244897959183,0.004897078353253652,0.9930942895086321,0.43084196375626765,0.17502988792128032,0.553318127989769,0.03275334037997669,1.0
37,0.5993834187061279,0.24757873268829445,0.26531437039375305,0.1540578454732895,0.035142991691827774,0.01020408163265306,0.0049800796812749,0.9867197875166003,0.4134724248304831,0.19523884273237652,0.6326571851968765,0.017613220587039596,1.0
38,0.5993691899070385,0.24999762853348512,0.09038153290748596,0.19427692890167236,0.03895776718854904,0.015306122448979591,0.0049800796812749,0.9962815405046481,0.48719716771642707,0.21643203993638357,0.545190766453743,0.02143975119928449,1.0
39,0.5973202428381711,0.24997865680136597,0.16273003816604614,0.19008660316467285,0.06222165375947952,0.04081632653061224,0.004897078353253652,0.9752988047808765,0.4796441469371624,0.34567585421933067,0.5813650190830231,0.040406401604466485,1.0
40,0.5996419085562512,0.24933361790931513,0.0805182158946991,0.1928756684064865,0.038341715931892395,0.015306122448979591,0.004897078353253652,0.9779548472775564,0.48430969298179904,0.21300953295495775,0.5402591079473495,0.021273748543241995,1.0
41,0.5999430848036426,0.24996205653576173,0.004840537905693054,0.16664789617061615,0.03981074318289757,0.030612244897959183,0.0049800796812749,0.997742363877822,0.43744534420177805,0.22117079546054205,0.5024202689528465,0.032919343036019184,1.0
42,0.5994782773667235,0.24991462720546387,0.14674915373325348,0.19587157666683197,0.04629362002015114,0.04591836734693878,0.0049800796812749,0.99800796812749,0.4900218829633027,0.25718677788972855,0.5733745768666267,0.044398934872753884,1.0
43,0.599976285334851,0.24994308480364258,0.1857348382472992,0.1867973357439041,0.034935079514980316,0.01020408163265306,0.004814077025232404,0.9043824701195219,0.4737039009810309,0.194083775083224,0.5928674191236496,0.017281215274954603,1.0
44,0.5997960538797192,0.2476617340163157,0.23001350462436676,0.17563486099243164,0.032131265848875046,0.015306122448979591,0.0049800796812749,0.9859229747675963,0.4523567034953506,0.17850703249375027,0.6150067523121834,0.02143975119928449,1.0
45,0.5976048188199583,0.24999762853348512,0.27069634199142456,0.17717857658863068,0.027604857459664345,0.015306122448979591,0.0049800796812749,0.9897742363877822,0.4564201335529521,0.15336031922035748,0.6353481709957123,0.02143975119928449,1.0
